Security,Trades,Trading Days,Buys,Sells,Total Value (AED),Final P&L (AED),Max Position,Final Position
EMAAR,11903,136,6041,5862,445372208.70000005,312211.0499999996,64600,0
ADNOCGAS,6529,136,3319,3210,179578705.84,171213.28000000073,130000,0
TALABAT,5686,136,3046,2640,83027926.864,119067.28999999967,233000,0
MULTIPLY,9400,136,4727,4673,167901919.91000003,97688.6199999994,79400,0
SALIK,18037,136,9325,8712,160220848.33999997,25529.769999999917,30400,0
EMIRATES,12210,136,6121,6089,131230926.45,19260.650000000045,6800,0
EAND,8348,135,4194,4154,65825066.019999996,13420.139999999725,4200,0
MODON,4167,136,2175,1992,33154124.939999998,10259.719999999914,15400,0
ADNOCDRI,7649,136,3868,3781,53594204.28,7431.819999999941,11400,0
ADNOCLS,5791,136,2897,2894,35267073.129999995,6201.939999999969,9000,0
SPINNEYS,711,111,340,371,3051786.2,6181.499999999997,19400,0
PARKIN,7371,136,3877,3494,29727222.6,-4478.07000000005,6800,0
FAB,8920,136,4537,4383,79919910.46000001,-6022.600000000074,4800,0
ALDAR,11102,136,5539,5563,75295242.22,-16229.390000000169,6000,0
ADIB,12232,136,6178,6054,100381521.08,-25546.38000000038,3800,0
ADCB,12861,135,6463,6398,121515730.9,-39066.67999999994,7800,0
TOTAL,142917,-,72647,70270,1765064417.934,697122.6599999983,-,0
