security,total_trades,auction_entries,buy_entries,sell_entries,vwap_exits,stop_losses,eod_flattens,filtered_sell_entries,filtered_buy_entries,realized_pnl,final_position
SPINNEYS,255,64,13,51,182,2,7,36,0,3962.240000000008,0
MODON,142,34,21,13,103,4,1,44,0,4742.019999999988,0
PARKIN,162,28,8,20,124,2,8,28,0,5225.700000000027,0
TALABAT,1115,77,57,20,1020,15,3,38,0,31444.2100000001,0
ADNOCLS,140,18,14,4,117,0,5,39,0,14920.410000000085,0
EAND,408,19,10,9,379,2,8,35,0,-27491.579999999452,0
MULTIPLY,305,38,29,9,263,1,3,53,0,51952.889999999934,0
EMIRATES,1195,32,18,14,1153,3,7,48,0,181607.39999999976,0
FAB,812,27,15,12,776,2,7,35,0,324949.7000000002,0
ADNOCGAS,307,16,7,9,289,0,2,27,0,67190.53000000004,0
ADNOCDRI,344,22,11,11,315,1,6,27,0,40194.710000000196,0
SALIK,645,29,17,12,607,4,5,39,0,21319.969999999994,0
ADIB,311,20,9,11,282,3,6,45,0,22058.000000000215,0
ADCB,745,32,21,11,703,3,7,49,0,100748.22000000013,0
EMAAR,1305,44,26,18,1248,3,10,40,0,374826.0500000009,0
ALDAR,637,33,26,7,589,2,13,41,0,50666.659999999974,0
