strategy,v1,v1,v1,v1,v1,v1,v2,v2,v2,v2,v2,v2
interval_sec,10,30,60,120,300,600,10,30,60,120,300,600
security,,,,,,,,,,,,
ADCB,5955.74000000023,-22419.900000000347,-14788.360000000455,-25876.84,-51443.159999999996,-46945.25999999963,-63422.61999999912,-56526.19999999888,-51320.579999999725,-44142.50000000013,-44821.81999999977,-44195.10000000034
ADIB,-17245.919999999598,-27004.779999999973,-44699.31999999978,-55160.45999999973,-46109.81999999929,-34439.22000000004,-43716.0400000006,-39730.74000000023,-34163.91999999966,-36270.459999999846,-31385.119999999923,-27611.100000000013
ADNOCDRI,27673.149999999758,21440.579999999885,13239.859999999873,8709.929999999797,3278.6700000000583,-8780.290000000105,9888.689999999633,9964.619999999506,4513.2299999999095,2869.009999999616,-7164.099999999987,-11700.300000000092
ADNOCGAS,163046.55000000005,130118.46000000008,105273.13000000108,101813.82999999984,44957.50000000022,39484.12000000136,308332.99000000214,289551.6000000013,254790.4400000001,192895.27999999988,136373.5400000002,105059.58000000073
ADNOCLS,17120.759999999966,14112.74999999986,8742.579999999965,8597.090000000033,1628.2999999998724,3626.119999999826,1446.1400000001415,718.5900000002692,1336.9100000000271,-1970.2100000001078,-1203.159999999923,530.7399999999678
ALDAR,527.4300000002605,-7168.63000000038,-17127.179999999997,-16822.20999999983,-12293.08999999998,-17329.809999999812,-26429.579999999878,-24712.10000000014,-27123.139999999978,-29144.790000000106,-21413.619999999686,-17097.439999999846
EAND,22022.139999999912,19611.20000000009,14937.50000000025,15615.560000000278,8119.640000000073,4822.880000000148,1037.860000000133,1245.5999999999387,-170.25999999992882,-5675.340000000405,-7931.460000000301,-6278.020000000073
EMAAR,321101.049999998,377527.7000000009,353454.1500000014,401286.19999999984,291860.0499999992,210275.25000000215,594177.5999999985,555789.3000000019,472096.79999999836,407903.6999999988,298474.50000000396,125050.3499999973
EMIRATES,46155.75000000061,54678.49999999976,40289.400000000234,13678.000000000377,18227.199999999913,-6034.449999999793,-38205.19999999998,-43141.099999999016,-34941.70000000006,-53210.749999999614,-40952.09999999969,-32103.500000000004
FAB,7982.69999999982,7445.260000000038,-1001.0999999998432,3254.739999999867,-3603.9800000001833,-9961.859999999753,-20417.8999999999,-26789.219999999917,-25031.54000000019,-19296.240000000253,-19100.680000000084,-11310.580000000435
MODON,26588.080000000165,34575.270000000004,26320.07000000004,21945.999999999975,19053.83000000009,12870.13000000008,2658.180000000069,2327.1899999999946,-745.5000000000475,-1652.1299999999553,-5832.13999999995,-5881.059999999989
MULTIPLY,175183.7500000001,186656.95999999953,114316.81999999989,119358.25000000025,62885.12999999978,17923.63000000022,198639.19000000015,171271.5400000024,164561.78000000058,131552.6300000007,77213.80000000024,68183.9400000004
PARKIN,9097.590000000017,7416.160000000157,5373.420000000161,2358.7200000002304,-2242.509999999813,-1323.6399999998391,8646.899999999998,8830.740000000093,8768.79000000005,11099.58000000005,3776.979999999967,3138.689999999968
SALIK,81944.80000000086,47477.34000000011,28632.65999999938,31429.479999999567,30624.91999999948,13475.750000000193,-6574.849999998536,-13774.279999998193,-5849.179999997876,-10442.349999999755,-23880.410000000193,-25523.11999999995
SPINNEYS,9552.49,7606.58,6378.609999999985,7563.109999999996,6448.6699999999855,4402.2399999999925,13055.690000000037,11158.630000000074,10336.100000000068,9347.170000000062,8772.870000000039,7639.170000000042
TALABAT,102274.47800000045,115860.74900000128,98205.16099999927,138638.22800000053,66142.35999999974,89862.95999999967,303214.73899999814,273476.2309999983,279139.1840000002,243894.89800000063,203648.31499999922,175502.5109999997
