security,trades,pnl,position,entry_price
EMAAR,16688,298474.50000000396,0,0
ALDAR,11521,-21413.619999999686,0,0
ADNOCDRI,9277,-7164.099999999987,0,0
ADNOCGAS,10778,136373.5400000002,0,0
ADNOCLS,6552,-1203.159999999923,0,0
EAND,10322,-7931.460000000301,0,0
ADCB,14577,-44821.81999999977,0,0
ADIB,12983,-31385.119999999923,0,0
EMIRATES,14154,-40952.09999999969,0,0
TALABAT,8930,203648.31499999922,0,0
SPINNEYS,1405,8772.870000000039,0,0
FAB,10751,-19100.680000000084,0,0
SALIK,20035,-23880.410000000193,0,0
PARKIN,7993,3776.979999999967,0,0
MULTIPLY,10873,77213.80000000024,0,0
MODON,4886,-5832.13999999995,0,0
