security,trades,pnl,position,market_dates,strategy_dates
EMAAR,8283,368725.95000000263,0,136,136
ALDAR,12135,-6340.529999999727,0,136,136
ADNOCDRI,7477,21279.47999999973,0,136,136
ADNOCGAS,5664,179134.79000000068,0,136,136
ADNOCLS,5593,10928.969999999861,0,136,136
EAND,6861,21584.91999999992,0,136,135
ADCB,12451,-11344.920000000395,0,136,135
ADIB,11556,-12987.59999999993,0,136,136
EMIRATES,11154,48758.60000000043,0,136,136
TALABAT,3923,119879.59500000067,0,136,135
SPINNEYS,567,7930.90999999999,0,136,105
FAB,8245,5759.860000000038,0,136,136
SALIK,13712,63923.269999998214,0,136,136
PARKIN,5820,6832.380000000019,0,136,136
MULTIPLY,8340,180545.23999999985,0,136,136
MODON,3394,27651.37999999999,0,136,135
