Security,Trades,Trading Days,Buys,Sells,Avg Qty,Total Value ($),Final P&L ($),Final Position
EMAAR,11903,136,6041,5862,2708,445372208,312211.05,0
ADNOCGAS,6529,136,3319,3210,8253,179578705,171213.28,0
TALABAT,5686,136,3046,2640,11924,83027926,119067.29,0
MULTIPLY,9400,136,4727,4673,6975,167901919,97688.62,0
SALIK,18037,136,9325,8712,1497,160220848,25529.77,0
EMIRATES,12210,136,6121,6089,446,131230926,19260.65,0
EAND,8348,135,4194,4154,441,65825066,13420.14,0
MODON,4167,136,2175,1992,2292,33154124,10259.72,0
ADNOCDRI,7649,136,3868,3781,1259,53594204,7431.82,0
ADNOCLS,5791,136,2897,2894,1207,35267073,6201.94,0
SPINNEYS,711,111,340,371,2792,3051786,6181.5,0
PARKIN,7371,136,3877,3494,675,29727222,-4478.07,0
FAB,8920,136,4537,4383,547,79919910,-6022.6,0
ALDAR,11102,136,5539,5563,752,75295242,-16229.39,0
ADIB,12232,136,6178,6054,388,100381521,-25546.38,0
ADCB,12861,135,6463,6398,685,121515730,-39066.68,0
TOTAL,142917,-,72647,70270,-,1765064410,697122.6599999999,0
