security,optimal_spread_pct,best_pnl,best_trades,pnl_0.5%,pnl_1.0%,pnl_1.5%,pnl_2.0%
EMAAR,0.5,333510.7999999996,699,333510.7999999996,82655.3,0.0,0.0
ALDAR,1.5,3386.0000000003,4,-7410.439999999904,1619.410000000511,3386.0000000003,0.0
ADNOCDRI,0.5,21772.900000000176,346,21772.900000000176,13435.280000000077,0.0,0.0
ADNOCGAS,0.5,91686.1800000002,409,91686.1800000002,0.0,0.0,0.0
ADNOCLS,0.5,17198.490000000078,164,17198.490000000078,3375.000000000048,0.0,0.0
ADCB,1.0,44981.440000000235,190,14810.280000000068,44981.440000000235,5164.899999999981,0.0
ADIB,1.0,35204.15999999992,64,23161.76000000014,35204.15999999992,0.0,0.0
FAB,0.5,337825.5400000003,988,337825.5400000003,189239.9400000004,111029.64000000001,0.0
MULTIPLY,0.5,37407.06000000007,397,37407.06000000007,28441.760000000013,18306.73000000005,8874.450000000046
EAND,1.5,0.0,0,-39809.89999999938,-21513.57999999989,0.0,0.0
EMIRATES,0.5,86732.84999999935,1517,86732.84999999935,-23846.50000000021,-11632.249999999896,0.0
SALIK,1.0,5730.819999999955,55,5615.170000000057,5730.819999999955,-7241.71,0.0
PARKIN,0.5,4620.91000000002,180,4620.91000000002,2126.269999999987,1560.24,0.0
MODON,0.5,1340.729999999989,168,1340.729999999989,1243.5099999999861,0.0,0.0
SPINNEYS,0.5,5236.960000000008,324,5236.960000000008,3256.950000000007,1785.450000000003,623.1800000000019
TALABAT,0.5,55791.25000000009,1333,55791.25000000009,43696.55000000005,9688.520000000011,0.0
