security,spread_pct,pnl,trades,auction_entries,vwap_exits,stop_losses,eod_flattens
EMAAR,0.5,333510.7999999996,699,29,657,1,12
EMAAR,1.0,82655.3,76,3,72,0,1
EMAAR,1.5,0.0,0,0,0,0,0
EMAAR,2.0,0.0,0,0,0,0,0
ALDAR,0.5,-7410.439999999904,849,42,789,5,13
ALDAR,1.0,1619.410000000511,73,5,64,1,3
ALDAR,1.5,3386.0000000003,4,2,0,0,2
ALDAR,2.0,0.0,0,0,0,0,0
ADNOCDRI,0.5,21772.900000000176,346,23,315,2,6
ADNOCDRI,1.0,13435.280000000077,56,3,52,0,1
ADNOCDRI,1.5,0.0,0,0,0,0,0
ADNOCDRI,2.0,0.0,0,0,0,0,0
ADNOCGAS,0.5,91686.1800000002,409,22,383,1,3
ADNOCGAS,1.0,0.0,0,0,0,0,0
ADNOCGAS,1.5,0.0,0,0,0,0,0
ADNOCGAS,2.0,0.0,0,0,0,0,0
ADNOCLS,0.5,17198.490000000078,164,21,138,0,5
ADNOCLS,1.0,3375.000000000048,4,1,3,0,0
ADNOCLS,1.5,0.0,0,0,0,0,0
ADNOCLS,2.0,0.0,0,0,0,0,0
ADCB,0.5,14810.280000000068,962,43,901,8,10
ADCB,1.0,44981.440000000235,190,10,175,2,3
ADCB,1.5,5164.899999999981,2,1,0,0,1
ADCB,2.0,0.0,0,0,0,0,0
ADIB,0.5,23161.76000000014,373,24,338,3,8
ADIB,1.0,35204.15999999992,64,2,62,0,0
ADIB,1.5,0.0,0,0,0,0,0
ADIB,2.0,0.0,0,0,0,0,0
FAB,0.5,337825.5400000003,988,32,945,3,8
FAB,1.0,189239.9400000004,214,9,202,1,2
FAB,1.5,111029.64000000001,33,1,32,0,0
FAB,2.0,0.0,0,0,0,0,0
MULTIPLY,0.5,37407.06000000007,397,56,330,7,4
MULTIPLY,1.0,28441.760000000013,68,10,56,1,1
MULTIPLY,1.5,18306.73000000005,27,3,24,0,0
MULTIPLY,2.0,8874.450000000046,8,1,7,0,0
EAND,0.5,-39809.89999999938,427,21,395,2,9
EAND,1.0,-21513.57999999989,4,2,0,0,2
EAND,1.5,0.0,0,0,0,0,0
EAND,2.0,0.0,0,0,0,0,0
EMIRATES,0.5,86732.84999999935,1517,47,1454,8,8
EMIRATES,1.0,-23846.50000000021,193,9,179,3,2
EMIRATES,1.5,-11632.249999999896,16,2,13,1,0
EMIRATES,2.0,0.0,0,0,0,0,0
SALIK,0.5,5615.170000000057,669,33,623,6,7
SALIK,1.0,5730.819999999955,55,5,48,1,1
SALIK,1.5,-7241.71,13,2,10,1,0
SALIK,2.0,0.0,0,0,0,0,0
PARKIN,0.5,4620.91000000002,180,31,137,2,10
PARKIN,1.0,2126.269999999987,39,8,27,1,3
PARKIN,1.5,1560.24,4,1,3,0,0
PARKIN,2.0,0.0,0,0,0,0,0
MODON,0.5,1340.729999999989,168,41,120,6,1
MODON,1.0,1243.5099999999861,11,3,7,1,0
MODON,1.5,0.0,0,0,0,0,0
MODON,2.0,0.0,0,0,0,0,0
SPINNEYS,0.5,5236.960000000008,324,82,228,3,11
SPINNEYS,1.0,3256.950000000007,143,39,95,2,7
SPINNEYS,1.5,1785.450000000003,45,13,28,0,4
SPINNEYS,2.0,623.1800000000019,13,5,4,0,4
TALABAT,0.5,55791.25000000009,1333,93,1221,15,4
TALABAT,1.0,43696.55000000005,338,28,306,1,3
TALABAT,1.5,9688.520000000011,38,2,35,0,1
TALABAT,2.0,0.0,0,0,0,0,0
